DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,PctTrumpVote
Abilene-Sweetwater TX,0.45,0.21,0.14,0.02,0.04,0.03,0.11,0.79
Albany GA,0.32,0.30,0.09,0.01,0.08,0.03,0.17,0.59
Albany-Schenectady-Troy NY,0.40,0.20,0.20,0.08,0.06,0.03,0.04,0.44
Albuquerque-Santa Fe NM,0.53,0.21,0.11,0.03,0.03,0.04,0.06,0.40
Alexandria LA,0.42,0.28,0.09,0.01,0.05,0.03,0.12,0.70
Alpena MI,0.28,0.13,0.21,0.12,0.10,0.07,0.09,0.64
Amarillo TX,0.47,0.22,0.12,0.02,0.05,0.03,0.10,0.78
Atlanta GA,0.36,0.28,0.10,0.03,0.05,0.05,0.14,0.48
Augusta GA,0.39,0.26,0.08,0.03,0.08,0.04,0.13,0.53
Austin TX,0.40,0.29,0.11,0.03,0.03,0.03,0.11,0.40
Bakersfield CA,0.48,0.26,0.14,0.03,0.04,0.01,0.03,0.54
Baltimore MD,0.45,0.20,0.20,0.05,0.03,0.03,0.04,0.39
Bangor ME,0.39,0.20,0.19,0.09,0.08,0.02,0.03,0.51
Baton Rouge LA,0.40,0.29,0.08,0.02,0.03,0.03,0.15,0.55
Beaumont-Port Arthur TX,0.45,0.27,0.12,0.01,0.04,0.02,0.09,0.65
Bend OR,0.39,0.24,0.13,0.04,0.04,0.03,0.13,0.46
"Billings, MT",0.50,0.17,0.12,0.05,0.05,0.04,0.07,0.64
Biloxi-Gulfport MS,0.43,0.23,0.09,0.02,0.06,0.03,0.14,0.68
Binghamton NY,0.41,0.19,0.17,0.09,0.07,0.03,0.04,0.53
Birmingham AL,0.26,0.22,0.10,0.02,0.06,0.06,0.27,0.62
Bluefield-Beckley-Oak Hill WV,0.34,0.20,0.10,0.02,0.13,0.06,0.14,0.74
Boise ID,0.43,0.20,0.11,0.04,0.04,0.04,0.14,0.56
