"id","celebrate","main","cooked","stuffing","cranberry","gravy","brussel.sprouts","carrots","cauliflower","corn","cornbread","fruit.salad","green.beans","mac.n.cheese","mashed.potatoes","rolls","squash","salad","yams.sweet.potato","apple.pie","buttermilk.pie","cherry.pie","chocolate.pie","coconut.pie","keylime.pie","peach.pie","pecan.pie","pumpkin.pie","sweet.potato.pie","apple.cobbler","blondies","brownies","carrot.cake","cheesecake","cookies","fudge","ice.cream","peach.cobbler","pray","friendsgiving","black.friday","area.live","age","gender","income","DivName","celebrate01","gravy01","friendsgiving01","black.friday01","brussel.sprouts01","carrots01","cauliflower01","corn01","cornbread01","fruit.salad01","green.beans01","mac.n.cheese01","mashed.potatoes01","rolls01","squash01","salad01","yams.sweet.potato01","apple.pie01","buttermilk.pie01","cherry.pie01","chocolate.pie01","coconut.pie01","keylime.pie01","peach.pie01","pecan.pie01","pumpkin.pie01","sweet.potato.pie01","apple.cobbler01","blondies01","brownies01","carrot.cake01","cheesecake01","cookies01","fudge01","ice.cream01","peach.cobbler01"
4337954960,"Yes","Turkey","Baked","Bread-based","None","Yes","","Carrots","","","","","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","","","","Yams/sweet potato casserole","Apple","","","","","","","","","","","","","","Cheesecake","Cookies","","Ice cream","","Yes","No","No","Suburban","18 - 29","Male","$75,000 to $99,999","Middle Atlantic",1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
4337951949,"Yes","Turkey","Baked","Bread-based","Other (please specify)","Yes","","","","Corn","","","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","","Vegetable salad","Yams/sweet potato casserole","Apple","","","Chocolate","","","","","Pumpkin","","","","","","Cheesecake","Cookies","","","","Yes","No","Yes","Rural","18 - 29","Female","$50,000 to $74,999","East South Central",1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
4337935621,"Yes","Turkey","Roasted","Rice-based","Homemade","Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread","","","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","Apple","","Cherry","","","","Peach","Pecan","Pumpkin","Sweet Potato","","","Brownies","Carrot cake","","Cookies","Fudge","Ice cream","","Yes","Yes","Yes","Suburban","18 - 29","Male","$0 to $9,999","Mountain",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
4337933040,"Yes","Turkey","Baked","Bread-based","Homemade","Yes","Brussel sprouts","","","","Cornbread","","","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","Yams/sweet potato casserole","","","","","","","","Pecan","Pumpkin","","","","","","","","","","","No","No","No","Urban","30 - 44","Male","$200,000 and up","Pacific",1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4337931983,"Yes","Tofurkey","Baked","Bread-based","Canned","Yes","Brussel sprouts","","","","Cornbread","","","","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole","Apple","","","","","","","","Pumpkin","","","","","","","","","","","No","No","No","Urban","30 - 44","Male","$100,000 to $124,999","Pacific",1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337929779,"Yes","Turkey","Roasted","Rice-based","Homemade","Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread","Fruit salad","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole","","","","","","","","","","Sweet Potato","","","","","Cheesecake","","","","","Yes","Yes","Yes","Urban","18 - 29","Male","$0 to $9,999","Pacific",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4337924420,"Yes","Turkey","Baked","Bread-based","Canned","Yes","","","","","","Fruit salad","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","Apple","","","","","","","","Pumpkin","","","","","","","Cookies","","","","No","No","Yes","Rural","18 - 29","Male","$25,000 to $49,999","East North Central",1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4337916002,"Yes","Turkey","Baked","Rice-based","Homemade","Yes","","Carrots","","","","","","","","","","","","","","","Chocolate","","","","","","","","","","","","Cookies","","","","No","Yes","Yes","Rural","18 - 29","Male","Prefer not to answer","Mountain",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4337914977,"Yes","Turkey","Roasted","Bread-based","Canned","Yes","Brussel sprouts","","","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","Squash","","","Apple","Buttermilk","","","","","","","Pumpkin","Sweet Potato","","","","","","Cookies","","","","No","No","No","Urban","30 - 44","Male","$75,000 to $99,999","Middle Atlantic",1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4337899817,"Yes","Other (please specify)","Baked","Bread-based","Other (please specify)","Yes","Brussel sprouts","Carrots","","","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","Buttermilk","","","","","","","Pumpkin","Sweet Potato","","","","","","","","","","Yes","No","No","Suburban","30 - 44","Male","$25,000 to $49,999","East South Central",1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
